token	Agreement	Hate	Agreement_coordinate	Hate_coordinate	occurrences
get	0.644640234948605	0.4581497797356828	0.28928046989721	-0.08370044052863435	681
on	0.6104060913705583	0.45685279187817257	0.2208121827411167	-0.0862944162436548	788
pornhub	0.5333333333333333	0.13333333333333333	0.06666666666666665	-0.7333333333333334	15
woman	0.591684434968017	0.6950959488272921	0.18336886993603407	0.3901918976545842	938
porn	0.5	0.3148148148148148	0.0	-0.3703703703703703	54
ad	0.5714285714285714	0.47619047619047616	0.1428571428571428	-0.04761904761904767	21
be	0.6338991639219661	0.4861920445908285	0.2677983278439322	-0.02761591081834297	3947
you	0.6350160256410257	0.44150641025641024	0.2700320512820513	-0.11698717948717952	2496
seriously	0.75	0.3333333333333333	0.5	-0.3333333333333334	12
right	0.6778242677824268	0.6317991631799164	0.35564853556485354	0.2635983263598327	239
now	0.6276595744680851	0.425531914893617	0.25531914893617014	-0.148936170212766	282
when	0.6285081240768094	0.42836041358936483	0.2570162481536189	-0.14327917282127034	1354
your	0.6181649675625579	0.44300278035217794	0.2363299351251158	-0.11399443929564418	1079
high	0.7708333333333334	0.375	0.5416666666666667	-0.25	48
school	0.7014925373134329	0.23880597014925373	0.4029850746268657	-0.5223880597014925	67
girlfriend	0.5012468827930174	0.2718204488778055	0.0024937655860348684	-0.45635910224438897	401
finally	0.6373626373626373	0.3076923076923077	0.27472527472527464	-0.3846153846153846	91
turn	0.6666666666666666	0.42028985507246375	0.33333333333333326	-0.1594202898550725	69
18	0.525	0.4	0.050000000000000044	-0.19999999999999996	40
year	0.5801886792452831	0.33962264150943394	0.1603773584905661	-0.32075471698113217	212
old	0.5683453237410072	0.2949640287769784	0.13669064748201443	-0.4100719424460432	139
11	0.6338028169014085	0.352112676056338	0.267605633802817	-0.295774647887324	71
hello	0.6451612903225806	0.3548387096774194	0.29032258064516125	-0.29032258064516125	31
birthday	0.6285714285714286	0.3142857142857143	0.2571428571428571	-0.37142857142857144	35
girl	0.5386064030131826	0.7627118644067796	0.07721280602636527	0.5254237288135593	531
ready	0.5531914893617021	0.5957446808510638	0.1063829787234043	0.1914893617021276	47
for	0.6315323294951284	0.46147032772364927	0.26306465899025677	-0.07705934455270147	1129
present	0.75	0.4166666666666667	0.5	-0.16666666666666657	12
i	0.6451719576719577	0.4074074074074074	0.29034391534391535	-0.18518518518518517	3024
every	0.6491228070175439	0.5087719298245614	0.29824561403508776	0.01754385964912286	114
time	0.6294820717131474	0.43824701195219123	0.2589641434262948	-0.12350597609561748	251
refuse	0.5	0.4375	0.0	-0.125	16
to	0.6370558375634517	0.4572758037225042	0.2741116751269035	-0.08544839255499159	2364
objectify	0.8	0.9	0.6000000000000001	0.8	10
can	0.6268174474959612	0.5072697899838449	0.2536348949919225	0.01453957996768973	619
not	0.6253623188405797	0.4673913043478261	0.2507246376811594	-0.06521739130434773	1380
enough	0.5789473684210527	0.42105263157894735	0.1578947368421053	-0.1578947368421053	57
of	0.631768953068592	0.4447653429602888	0.2635379061371841	-0.1104693140794224	1385
do	0.6342668863261944	0.46375617792421747	0.26853377265238887	-0.07248764415156511	1214
this	0.6602209944751382	0.468232044198895	0.3204419889502763	-0.06353591160221	724
net	0.7068273092369478	0.8875502008032129	0.4136546184738956	0.7751004016064258	249
find	0.6041666666666666	0.4427083333333333	0.20833333333333326	-0.11458333333333343	192
meme	0.6616541353383458	0.7255639097744361	0.32330827067669166	0.45112781954887216	266
should	0.6358695652173914	0.5434782608695652	0.2717391304347827	0.08695652173913038	184
buy	0.6111111111111112	0.2361111111111111	0.22222222222222232	-0.5277777777777777	72
or	0.6194029850746269	0.4664179104477612	0.23880597014925375	-0.06716417910447753	268
sell	0.5833333333333334	0.2916666666666667	0.16666666666666674	-0.4166666666666666	24
q	0.3	0.5	-0.39999999999999997	0.0	20
search	0.65	0.45	0.30000000000000004	-0.10000000000000003	20
news	0.6792452830188679	0.4716981132075472	0.35849056603773577	-0.05660377358490565	53
r	0.5576923076923077	0.5576923076923077	0.11538461538461542	0.11538461538461542	52
there	0.6793103448275862	0.43448275862068964	0.35862068965517246	-0.13103448275862073	290
fix	0.8157894736842105	0.6578947368421053	0.631578947368421	0.3157894736842106	38
it	0.6269592476489029	0.4717868338557994	0.25391849529780575	-0.05642633228840127	1276
trans	0.36363636363636365	0.36363636363636365	-0.2727272727272727	-0.2727272727272727	11
women	0.6882591093117408	0.868421052631579	0.37651821862348167	0.736842105263158	494
vote	0.696969696969697	0.6666666666666666	0.39393939393939403	0.33333333333333326	33
em	0.6	0.6	0.19999999999999996	0.19999999999999996	10
ho	0.5625	0.5625	0.125	0.125	16
1	0.6380090497737556	0.39819004524886875	0.2760180995475112	-0.20361990950226255	221
25	0.5833333333333334	0.4722222222222222	0.16666666666666674	-0.05555555555555558	36
pm	0.48936170212765956	0.46808510638297873	-0.021276595744680937	-0.06382978723404253	47
home	0.631578947368421	0.2894736842105263	0.26315789473684204	-0.42105263157894735	152
45	0.5714285714285714	0.6428571428571429	0.1428571428571428	0.2857142857142858	14
m	0.7044776119402985	0.48059701492537316	0.4089552238805969	-0.03880597014925374	335
44	0.8	0.6	0.6000000000000001	0.19999999999999996	10
